SiteName,MonitorDate,Concentration,ItemUnit
臺東,2019-01-24,17,μg/m3
恆春,2019-01-24,13,μg/m3
屏東,2019-01-24,49,μg/m3
前金,2019-01-24,58,μg/m3
林園,2019-01-24,53,μg/m3
美濃,2019-01-24,37,μg/m3
臺南,2019-01-24,52,μg/m3
新營,2019-01-24,47,μg/m3
嘉義,2019-01-24,57,μg/m3
朴子,2019-01-24,40,μg/m3
斗六,2019-01-24,52,μg/m3
南投,2019-01-24,39,μg/m3
彰化,2019-01-24,37,μg/m3
忠明,2019-01-24,34,μg/m3
大里,2019-01-24,,μg/m3
豐原,2019-01-24,26,μg/m3
三義,2019-01-24,33,μg/m3
苗栗,2019-01-24,32,μg/m3
新竹,2019-01-24,27,μg/m3
竹東,2019-01-24,23,μg/m3
平鎮,2019-01-24,27,μg/m3
桃園,2019-01-24,27,μg/m3
萬華,2019-01-24,25,μg/m3
士林,2019-01-24,22,μg/m3
板橋,2019-01-24,25,μg/m3
汐止,2019-01-24,25,μg/m3
基隆,2019-01-24,23,μg/m3
馬公,2019-01-21,23,μg/m3
金門,2019-01-21,83,μg/m3
馬祖,2019-01-21,78,μg/m3
宜蘭,2019-01-21,7,μg/m3
陽明,2019-01-21,3,μg/m3
花蓮,2019-01-21,5,μg/m3
臺東,2019-01-21,4,μg/m3
恆春,2019-01-21,3,μg/m3
屏東,2019-01-21,46,μg/m3
前金,2019-01-21,45,μg/m3
林園,2019-01-21,51,μg/m3
美濃,2019-01-21,41,μg/m3
臺南,2019-01-21,32,μg/m3
新營,2019-01-21,26,μg/m3
嘉義,2019-01-21,27,μg/m3
朴子,2019-01-21,27,μg/m3
斗六,2019-01-21,23,μg/m3
南投,2019-01-21,18,μg/m3
彰化,2019-01-21,18,μg/m3
忠明,2019-01-21,15,μg/m3
大里,2019-01-21,,μg/m3
豐原,2019-01-21,12,μg/m3
三義,2019-01-21,15,μg/m3
苗栗,2019-01-21,18,μg/m3
新竹,2019-01-21,18,μg/m3
竹東,2019-01-21,,μg/m3
平鎮,2019-01-21,16,μg/m3
桃園,2019-01-21,16,μg/m3
萬華,2019-01-21,13,μg/m3
士林,2019-01-21,8,μg/m3
板橋,2019-01-21,13,μg/m3
汐止,2019-01-21,14,μg/m3
基隆,2019-01-21,13,μg/m3
馬公,2019-01-18,,μg/m3
金門,2019-01-18,30,μg/m3
馬祖,2019-01-18,39,μg/m3
宜蘭,2019-01-18,15,μg/m3
陽明,2019-01-18,12,μg/m3
花蓮,2019-01-18,16,μg/m3
臺東,2019-01-18,13,μg/m3
恆春,2019-01-18,11,μg/m3
屏東,2019-01-18,40,μg/m3
前金,2019-01-18,39,μg/m3
林園,2019-01-18,40,μg/m3
美濃,2019-01-18,33,μg/m3
臺南,2019-01-18,39,μg/m3
新營,2019-01-18,36,μg/m3
嘉義,2019-01-18,42,μg/m3
朴子,2019-01-18,34,μg/m3
斗六,2019-01-18,39,μg/m3
南投,2019-01-18,31,μg/m3
彰化,2019-01-18,29,μg/m3
忠明,2019-01-18,25,μg/m3
大里,2019-01-18,,μg/m3
豐原,2019-01-18,24,μg/m3
三義,2019-01-18,19,μg/m3
苗栗,2019-01-18,19,μg/m3
新竹,2019-01-18,18,μg/m3
竹東,2019-01-18,,μg/m3
平鎮,2019-01-18,16,μg/m3
桃園,2019-01-18,15,μg/m3
萬華,2019-01-18,16,μg/m3
士林,2019-01-18,14,μg/m3
板橋,2019-01-18,15,μg/m3
汐止,2019-01-18,15,μg/m3
基隆,2019-01-18,14,μg/m3
馬公,2019-01-15,30,μg/m3
金門,2019-01-15,30,μg/m3
馬祖,2019-01-15,26,μg/m3
宜蘭,2019-01-15,9,μg/m3
陽明,2019-01-15,4,μg/m3
花蓮,2019-01-15,7,μg/m3
臺東,2019-01-15,6,μg/m3
恆春,2019-01-15,5,μg/m3
屏東,2019-01-15,52,μg/m3
前金,2019-01-15,55,μg/m3
林園,2019-01-15,58,μg/m3
美濃,2019-01-15,42,μg/m3
臺南,2019-01-15,57,μg/m3
新營,2019-01-15,51,μg/m3
嘉義,2019-01-15,51,μg/m3
朴子,2019-01-15,51,μg/m3
斗六,2019-01-15,46,μg/m3
南投,2019-01-15,36,μg/m3
彰化,2019-01-15,39,μg/m3
忠明,2019-01-15,37,μg/m3
豐原,2019-01-15,,μg/m3
三義,2019-01-15,25,μg/m3
苗栗,2019-01-15,32,μg/m3
新竹,2019-01-15,27,μg/m3
竹東,2019-01-15,20,μg/m3
平鎮,2019-01-15,22,μg/m3
桃園,2019-01-15,17,μg/m3
萬華,2019-01-15,12,μg/m3
士林,2019-01-15,10,μg/m3
板橋,2019-01-15,13,μg/m3
汐止,2019-01-15,12,μg/m3
基隆,2019-01-15,11,μg/m3
馬公,2019-01-12,12,μg/m3
金門,2019-01-12,30,μg/m3
馬祖,2019-01-12,11,μg/m3
宜蘭,2019-01-12,7,μg/m3
陽明,2019-01-12,,μg/m3
花蓮,2019-01-12,7,μg/m3
臺東,2019-01-12,6,μg/m3
恆春,2019-01-12,5,μg/m3
屏東,2019-01-12,40,μg/m3
前金,2019-01-12,41,μg/m3
林園,2019-01-12,42,μg/m3
美濃,2019-01-12,25,μg/m3
臺南,2019-01-12,46,μg/m3
新營,2019-01-12,40,μg/m3
嘉義,2019-01-12,43,μg/m3
朴子,2019-01-12,37,μg/m3
斗六,2019-01-12,40,μg/m3
南投,2019-01-12,23,μg/m3
彰化,2019-01-12,28,μg/m3
忠明,2019-01-12,25,μg/m3
豐原,2019-01-12,17,μg/m3
三義,2019-01-12,17,μg/m3
苗栗,2019-01-12,28,μg/m3
新竹,2019-01-12,27,μg/m3
竹東,2019-01-12,20,μg/m3
平鎮,2019-01-12,23,μg/m3
桃園,2019-01-12,21,μg/m3
萬華,2019-01-12,15,μg/m3
士林,2019-01-12,13,μg/m3
板橋,2019-01-12,17,μg/m3
汐止,2019-01-12,16,μg/m3
基隆,2019-01-12,12,μg/m3
馬公,2019-01-09,13,μg/m3
金門,2019-01-09,16,μg/m3
馬祖,2019-01-09,,μg/m3
宜蘭,2019-01-09,3,μg/m3
陽明,2019-01-09,,μg/m3
花蓮,2019-01-09,4,μg/m3
臺東,2019-01-09,3,μg/m3
恆春,2019-01-09,2,μg/m3
屏東,2019-01-09,39,μg/m3
前金,2019-01-09,37,μg/m3
林園,2019-01-09,43,μg/m3
美濃,2019-01-09,26,μg/m3
臺南,2019-01-09,25,μg/m3
新營,2019-01-09,22,μg/m3
嘉義,2019-01-09,25,μg/m3
朴子,2019-01-09,18,μg/m3
斗六,2019-01-09,24,μg/m3
南投,2019-01-09,19,μg/m3
彰化,2019-01-09,13,μg/m3
忠明,2019-01-09,12,μg/m3
豐原,2019-01-09,14,μg/m3
三義,2019-01-09,10,μg/m3
苗栗,2019-01-09,10,μg/m3
新竹,2019-01-09,6,μg/m3
竹東,2019-01-09,5,μg/m3
平鎮,2019-01-09,6,μg/m3
桃園,2019-01-09,6,μg/m3
萬華,2019-01-09,8,μg/m3
士林,2019-01-09,6,μg/m3
板橋,2019-01-09,7,μg/m3
汐止,2019-01-09,9,μg/m3
基隆,2019-01-09,9,μg/m3
馬公,2019-01-06,9,μg/m3
金門,2019-01-06,17,μg/m3
馬祖,2019-01-06,7,μg/m3
宜蘭,2019-01-06,6,μg/m3
陽明,2019-01-06,,μg/m3
花蓮,2019-01-06,3,μg/m3
臺東,2019-01-06,3,μg/m3
恆春,2019-01-06,3,μg/m3
屏東,2019-01-06,43,μg/m3
前金,2019-01-06,41,μg/m3
林園,2019-01-06,47,μg/m3
美濃,2019-01-06,33,μg/m3
臺南,2019-01-06,27,μg/m3
新營,2019-01-06,21,μg/m3
嘉義,2019-01-06,22,μg/m3
朴子,2019-01-06,19,μg/m3
斗六,2019-01-06,18,μg/m3
南投,2019-01-06,12,μg/m3
彰化,2019-01-06,9,μg/m3
忠明,2019-01-06,8,μg/m3
豐原,2019-01-06,,μg/m3
三義,2019-01-06,5,μg/m3
苗栗,2019-01-06,8,μg/m3
新竹,2019-01-06,6,μg/m3
竹東,2019-01-06,4,μg/m3
平鎮,2019-01-06,6,μg/m3
桃園,2019-01-06,5,μg/m3
萬華,2019-01-06,6,μg/m3
士林,2019-01-06,4,μg/m3
板橋,2019-01-06,6,μg/m3
汐止,2019-01-06,6,μg/m3
基隆,2019-01-06,6,μg/m3
馬公,2019-01-03,9,μg/m3
金門,2019-01-03,17,μg/m3
馬祖,2019-01-03,23,μg/m3
宜蘭,2019-01-03,,μg/m3
陽明,2019-01-03,,μg/m3
花蓮,2019-01-03,3,μg/m3
臺東,2019-01-03,3,μg/m3
恆春,2019-01-03,2,μg/m3
屏東,2019-01-03,,μg/m3
前金,2019-01-03,34,μg/m3
林園,2019-01-03,39,μg/m3
美濃,2019-01-03,26,μg/m3
臺南,2019-01-03,23,μg/m3
新營,2019-01-03,19,μg/m3
嘉義,2019-01-03,25,μg/m3
朴子,2019-01-03,17,μg/m3
斗六,2019-01-03,23,μg/m3
南投,2019-01-03,20,μg/m3
彰化,2019-01-03,12,μg/m3
忠明,2019-01-03,11,μg/m3
豐原,2019-01-03,9,μg/m3
三義,2019-01-03,5,μg/m3
苗栗,2019-01-03,6,μg/m3
新竹,2019-01-03,4,μg/m3
竹東,2019-01-03,3,μg/m3
平鎮,2019-01-03,4,μg/m3
桃園,2019-01-03,4,μg/m3
萬華,2019-01-03,3,μg/m3
士林,2019-01-03,,μg/m3
板橋,2019-01-03,3,μg/m3
汐止,2019-01-03,3,μg/m3
基隆,2019-01-03,3,μg/m3
馬公,2018-12-31,8,μg/m3
金門,2018-12-31,12,μg/m3
馬祖,2018-12-31,14,μg/m3
宜蘭,2018-12-31,,μg/m3
陽明,2018-12-31,,μg/m3
花蓮,2018-12-31,3,μg/m3
臺東,2018-12-31,3,μg/m3
恆春,2018-12-31,3,μg/m3
屏東,2018-12-31,28,μg/m3
前金,2018-12-31,23,μg/m3
林園,2018-12-31,31,μg/m3
美濃,2018-12-31,21,μg/m3
臺南,2018-12-31,16,μg/m3
